City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Nabire,ID,75.54,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
1,Dicabisagan,PH,75.52,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
2,Rikitea,PF,78.26,light rain,-23.1203,-134.9692,People ThankYou
4,Coihaique,CL,78.49,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
12,Hilo,US,76.24,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
19,Inhambane,MZ,76.66,clear sky,-23.865,35.3833,Oceano
22,Banda Aceh,ID,78.12,scattered clouds,5.5577,95.3222,Sulthan Hotel International
33,Padang,ID,76.5,overcast clouds,-0.9492,100.3543,Mercure Padang
37,Atuona,PF,77.54,light rain,-9.8,-139.0333,Villa Enata
41,Puerto Ayora,EC,78.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Majene,ID,75.52,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
47,Santa Rosa,PH,78.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
49,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
79,Sao Filipe,CV,75.6,broken clouds,14.8961,-24.4956,Hotel Xaguate
87,Pedreiras,BR,78.28,overcast clouds,-4.5688,-44.6003,Hotel Princesa do Mearim
92,Sungairaya,ID,77.11,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
102,Half Moon Bay,US,77.61,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
104,Bengkulu,ID,76.21,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
106,Praia,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
107,Caravelas,BR,79.74,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
108,Benguela,AO,77.04,broken clouds,-12.5763,13.4055,Hotel Praia Morena
115,El Alto,PE,75.45,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
121,Port Moresby,PG,75.31,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
136,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
143,Luwuk,ID,76.62,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
146,Broken Hill,AU,78.53,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
168,Acara,BR,76.71,overcast clouds,-1.9608,-48.1967,Hotel Vale do Acará
171,Mecca,SA,75.67,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
177,Manacapuru,BR,79.93,light rain,-3.2997,-60.6206,Novo Hotel
184,Manokwari,ID,77.68,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
187,Takoradi,GH,79.52,light rain,4.8845,-1.7554,Raybow International Hotel
189,Kapaa,US,77.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
191,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
201,San Jose,US,78.57,clear sky,37.3394,-121.895,The Westin San Jose
202,San Quintin,MX,76.03,clear sky,30.4833,-115.95,Don Eddie's Landing
