City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nabire,ID,-3.3667,135.4833,75.54,92,100,3.56,overcast clouds
1,Dicabisagan,PH,17.0818,122.4157,75.52,88,100,6.51,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,78.26,72,76,12.1,light rain
3,Olafsvik,IS,64.8945,-23.7142,29.8,93,100,10.89,snow
4,Coihaique,CL,-45.5752,-72.0662,78.49,35,100,10.13,overcast clouds
5,Dingle,PH,10.9995,122.6711,74.28,93,91,6.38,overcast clouds
6,Hobart,AU,-42.8794,147.3294,60.66,83,75,12.66,broken clouds
7,Avarua,CK,-21.2078,-159.775,80.65,78,100,4.61,overcast clouds
8,Mahebourg,MU,-20.4081,57.7,81.25,84,86,13.56,light rain
9,Saint George,US,37.1041,-113.5841,70.36,18,0,5.01,clear sky
10,Pucara,PE,-15.9803,-71.4606,42.4,69,98,11.77,light rain
11,Vanavara,RU,60.34,102.2797,-23.44,99,23,4.36,few clouds
12,Hilo,US,19.7297,-155.09,76.24,82,3,4.0,clear sky
13,Kodiak,US,57.79,-152.4072,34.61,78,10,3.85,clear sky
14,Mezen,RU,65.8522,44.24,-0.36,99,69,4.29,broken clouds
15,Atasu,KZ,48.6814,71.6433,26.01,96,100,12.21,light snow
16,Ushuaia,AR,-54.8,-68.3,40.66,81,100,26.46,moderate rain
17,Katsuura,JP,35.1333,140.3,38.1,97,100,30.96,overcast clouds
18,Silvino Lobos,PH,12.3,124.8333,70.7,98,100,1.95,overcast clouds
19,Inhambane,MZ,-23.865,35.3833,76.66,86,2,8.66,clear sky
20,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,34,7.47,scattered clouds
21,Hermanus,ZA,-34.4187,19.2345,73.9,83,26,16.22,scattered clouds
22,Banda Aceh,ID,5.5577,95.3222,78.12,78,43,5.12,scattered clouds
23,Melnikovo,RU,56.5558,84.085,13.15,95,100,7.74,light snow
24,Bethel,US,41.3712,-73.414,31.19,70,100,10.36,light snow
25,Kruisfontein,ZA,-34.0033,24.7314,65.23,91,16,7.49,few clouds
26,Airai,TL,-8.9266,125.4092,58.48,90,37,1.92,scattered clouds
27,Barrow,US,71.2906,-156.7887,-23.17,100,100,8.14,overcast clouds
28,Thompson,CA,55.7435,-97.8558,-0.54,86,100,3.96,overcast clouds
29,Narsaq,GL,60.9167,-46.05,24.33,90,100,7.0,overcast clouds
30,Guerrero Negro,MX,27.9769,-114.0611,80.01,21,15,4.81,few clouds
31,Faanui,PF,-16.4833,-151.75,80.82,74,100,15.28,light rain
32,Nemuro,JP,43.3236,145.575,26.74,85,99,9.75,overcast clouds
33,Padang,ID,-0.9492,100.3543,76.5,84,100,4.0,overcast clouds
34,Port Augusta,AU,-32.5,137.7667,73.71,51,51,8.48,broken clouds
35,Vestmannaeyjar,IS,63.4427,-20.2734,33.6,74,98,28.48,overcast clouds
36,Krasnoselkup,RU,65.7,82.4667,-1.8,92,62,13.0,broken clouds
37,Atuona,PF,-9.8,-139.0333,77.54,79,24,14.74,light rain
38,Khatanga,RU,71.9667,102.5,-24.38,93,83,2.77,broken clouds
39,Vaini,TO,-21.2,-175.2,80.62,76,77,18.43,light rain
40,Hervey Bay,AU,-25.2986,152.8535,68.04,78,13,18.39,few clouds
41,Puerto Ayora,EC,-0.7393,-90.3518,78.55,87,87,5.99,overcast clouds
42,Majene,ID,-3.5403,118.9707,75.52,86,100,3.18,overcast clouds
43,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,74,40,16.11,scattered clouds
44,Nurota,UZ,40.5614,65.6886,28.49,63,53,5.99,broken clouds
45,Tual,ID,-5.6667,132.75,80.96,77,100,8.77,overcast clouds
46,Akyab,MM,20.15,92.9,64.33,57,87,7.4,overcast clouds
47,Santa Rosa,PH,14.3122,121.1114,78.12,89,100,7.07,overcast clouds
48,Xiongzhou,CN,25.1167,114.3,45.61,94,100,3.51,overcast clouds
49,Georgetown,MY,5.4112,100.3354,79.9,87,40,0.0,scattered clouds
50,Cape Town,ZA,-33.9258,18.4232,69.28,83,20,21.85,few clouds
51,Punta Arenas,CL,-53.15,-70.9167,50.11,50,40,39.12,scattered clouds
52,New Norfolk,AU,-42.7826,147.0587,60.3,71,90,0.98,overcast clouds
53,Mookane,BW,-23.688,26.6595,76.19,34,1,2.98,clear sky
54,Luderitz,NA,-26.6481,15.1594,75.22,62,0,12.1,clear sky
